year_of_birth,sex,age,date,population,bau_population,prev_population,bau_prev_population,acmr,bau_acmr,pr_death,bau_pr_death,deaths,bau_deaths,yld_rate,bau_yld_rate,person_years,bau_person_years,HALY,bau_HALY,LE,bau_LE,HALE,bau_HALE
1913.0,female,107.0,2020-01-01,6.8419806664175224,6.8419806664175224,7.49872653,7.49872653,0.09165594929478296,0.09165594929478296,0.08758098604543685,0.08758098604543685,0.6567458635824771,0.6567458635824771,0.38364379200000004,0.38364379200000004,0.5893441313596242,0.5893441313596242,0.36324591401187184,0.36324591401187184,0.8439700482316255,0.8439700482316255,0.520186178593622,0.520186178593622
1913.0,female,107.0,2020-01-31,6.2427532531488605,6.2427532531488605,6.8419806664175224,6.8419806664175224,0.09165594929478296,0.09165594929478296,0.08758098604543685,0.08758098604543685,0.5992274132686617,0.5992274132686617,0.38364379200000004,0.38364379200000004,0.5377287912150568,0.5377287912150568,0.3314324786857361,0.3314324786857361,0.8388442966538497,0.8388442966538497,0.5170268897879942,0.5170268897879942
1913.0,female,107.0,2020-03-01,5.696006767599725,5.696006767599725,6.2427532531488605,6.2427532531488605,0.09165594929478296,0.09165594929478296,0.08758098604543685,0.08758098604543685,0.5467464855491359,0.5467464855491359,0.38364379200000004,0.38364379200000004,0.4906339734554213,0.4906339734554213,0.30240529539495614,0.30240529539495614,0.8332265360642717,0.8332265360642717,0.51356434817355,0.51356434817355
1913.0,female,107.0,2020-03-31,5.1971448783718595,5.1971448783718595,5.696006767599725,5.696006767599725,0.09165594929478296,0.09165594929478296,0.08758098604543685,0.08758098604543685,0.49886188922786534,0.49886188922786534,0.38364379200000004,0.38364379200000004,0.44766376627280485,0.44766376627280485,0.2759203414389043,0.2759203414389043,0.827069539658388,0.827069539658388,0.5097694452161499,0.5097694452161499
1913.0,female,107.0,2020-04-30,4.7419738053030605,4.7419738053030605,5.1971448783718595,5.1971448783718595,0.09165594929478296,0.09165594929478296,0.08758098604543685,0.08758098604543685,0.4551710730687994,0.4551710730687994,0.38364379200000004,0.38364379200000004,0.4084569322058186,0.4084569322058186,0.2517549658656914,0.2517549658656914,0.8203215474402094,0.8203215474402094,0.5056102783209397,0.5056102783209397
1913.0,female,107.0,2020-05-30,4.3266670636329865,4.3266670636329865,4.741973805303061,4.741973805303061,0.09165594929478296,0.09165594929478296,0.08758098604543685,0.08758098604543685,0.4153067416700744,0.4153067416700744,0.38364379200000004,0.38364379200000004,0.3726838713261389,0.3726838713261389,0.2297060177133389,0.2297060177133389,0.8129258310917172,0.8129258310917172,0.5010518826369396,0.5010518826369396
1913.0,female,107.0,2020-06-29,3.9477332959096945,3.9477332959096945,4.3266670636329865,4.3266670636329865,0.09165594929478296,0.09165594929478296,0.08758098604543685,0.08758098604543685,0.3789337677232918,0.3789337677232918,0.38364379200000004,0.38364379200000004,0.3400438503921649,0.3400438503921649,0.20958813818143407,0.20958813818143407,0.8048202170751508,0.8048202170751508,0.49605593711817697,0.49605593711817697
1913.0,female,107.0,2020-07-29,3.6019869212095212,3.6019869212095212,3.9477332959096945,3.9477332959096945,0.09165594929478296,0.09165594929478296,0.08758098604543685,0.08758098604543685,0.3457463747001734,0.3457463747001734,0.38364379200000004,0.38364379200000004,0.31026247467613216,0.31026247467613216,0.19123220237607685,0.19123220237607685,0.7959365639589848,0.7959365639589848,0.4905804423703095,0.4905804423703095
1913.0,female,107.0,2020-08-28,3.286521354927224,3.286521354927224,3.6019869212095212,3.6019869212095212,0.09165594929478296,0.09165594929478296,0.08758098604543685,0.08758098604543685,0.3154655662822971,0.3154655662822971,0.38364379200000004,0.38364379200000004,0.2830893812110991,0.2830893812110991,0.1744838975283395,0.1744838975283395,0.7862001895736431,0.7862001895736431,0.48457936757449194,0.48457936757449194
1913.0,female,107.0,2020-09-27,2.998684574003313,2.998684574003313,3.286521354927224,3.286521354927224,0.09165594929478296,0.09165594929478296,0.08758098604543685,0.08758098604543685,0.2878367809239114,0.2878367809239114,0.38364379200000004,0.38364379200000004,0.2582961340656385,0.2582961340656385,0.15920242573375656,0.15920242573375656,0.7755292431812145,0.7755292431812145,0.4780022635202833,0.4780022635202833
