year_of_birth,sex,age,date,population,bau_population,prev_population,bau_prev_population,acmr,bau_acmr,pr_death,bau_pr_death,deaths,bau_deaths,yld_rate,bau_yld_rate,person_years,bau_person_years,HALY,bau_HALY,expenditure,bau_expenditure,COVID19_deaths
1913.0,female,107.0,2020-01-01,34.209904116507765,34.209904116507765,37.49363265,37.49363265,0.09165592636516126,0.09165592636516126,0.08758096512401381,0.08758096512401381,3.2837285334922357,3.2837285334922357,0.38364387,0.38364387,2.9467206890345654,2.9467206890345654,1.8117620017238634,1.8117620017238634,43668.27785364736,43668.27785364736,
1913.0,female,107.0,2020-01-31,31.213767697184043,31.213767697184043,34.209904116507765,34.209904116507765,0.09165592636516126,0.09165592636516126,0.08758096512401381,0.08758096512401381,2.996136419323723,2.996136419323723,0.38364387,0.38364387,2.6886440471380193,2.6886440471380193,1.6490200601771614,1.6490200601771614,39745.76467854957,39745.76467854957,
1913.0,female,107.0,2020-03-01,28.4800357971079,28.4800357971079,31.213767697184043,31.213767697184043,0.09165592636516126,0.09165592636516126,0.08758096512401381,0.08758096512401381,2.7337319000761444,2.7337319000761444,0.38364387,0.38364387,2.4531700066147373,2.4531700066147373,1.5008964512333014,1.5008964512333014,36175.59215815726,36175.59215815726,
1913.0,female,107.0,2020-03-31,25.985726775230727,25.985726775230727,28.4800357971079,28.4800357971079,0.09165592636516126,0.09165592636516126,0.08758096512401381,0.08758096512401381,2.4943090218771715,2.4943090218771715,0.38364387,0.38364387,2.2383190098221353,2.2383190098221353,1.3660780797795158,1.3660780797795158,32926.11121153266,32926.11121153266,
1913.0,female,107.0,2020-04-30,23.709871744807092,23.709871744807092,25.985726775230727,25.985726775230727,0.09165592636516126,0.09165592636516126,0.08758096512401381,0.08758096512401381,2.2758550304236342,2.2758550304236342,0.38364387,0.38364387,2.0422848706864856,2.0422848706864856,1.2433697997757533,1.2433697997757533,29968.515643765495,29968.515643765495,
1913.0,female,107.0,2020-05-30,21.633338294430303,21.633338294430303,23.709871744807092,23.709871744807092,0.09165592636516126,0.09165592636516126,0.08758096512401381,0.08758096512401381,2.0765334503767905,2.0765334503767905,0.38364387,0.38364387,1.8634195906535915,1.8634195906535915,1.1316838194518983,1.1316838194518983,27276.58678307707,27276.58678307707,
1913.0,female,107.0,2020-06-29,19.73866964774981,19.73866964774981,21.633338294430303,21.633338294430303,0.09165592636516126,0.09165592636516126,0.08758096512401381,0.08758096512401381,1.8946686466804927,1.8946686466804927,0.38364387,0.38364387,1.7002195044731552,1.7002195044731552,1.0300300581855992,1.0300300581855992,24826.461055955413,24826.461055955413,
1913.0,female,107.0,2020-07-29,18.009937909735804,18.009937909735804,19.73866964774981,19.73866964774981,0.09165592636516126,0.09165592636516126,0.08758096512401381,0.08758096512401381,1.728731738014006,1.728731738014006,0.38364387,0.38364387,1.5513126393487238,1.5513126393487238,0.9375073695757873,0.9375073695757873,22596.418439907895,22596.418439907895,
1913.0,female,107.0,2020-08-28,16.43261016577758,16.43261016577758,18.009937909735804,18.009937909735804,0.09165592636516126,0.09165592636516126,0.08758096512401381,0.08758096512401381,1.5773277439582256,1.5773277439582256,0.38364387,0.38364387,1.4154471811854816,1.4154471811854816,0.8532955529056424,0.8532955529056424,20566.689918494307,20566.689918494307,
1913.0,female,107.0,2020-09-27,14.993426307952097,14.993426307952097,16.43261016577758,16.43261016577758,0.09165592636516126,0.09165592636516126,0.08758096512401381,0.08758096512401381,1.439183857825481,1.439183857825481,0.38364387,0.38364387,1.291480950975192,1.291480950975192,0.7766480821777537,0.7766480821777537,18719.282231756166,18719.282231756166,
