year_of_birth,sex,age,date,population,bau_population,prev_population,bau_prev_population,acmr,bau_acmr,pr_death,bau_pr_death,deaths,bau_deaths,yld_rate,bau_yld_rate,person_years,bau_person_years,HALY,bau_HALY,expenditure,bau_expenditure,COVID19_deaths
1973.0,male,47.0,2020-03-31,331692.7488333881,331692.50381817686,331735.7815916208,331735.6194562102,0.0001297283921917607,0.00012997832495018272,0.0001297199778277358,0.00012996987813362892,43.03275823273166,43.11563803330753,0.1252308355978237,0.12527438,27264.186181849684,27264.16944963234,23616.080713652154,23614.890655904997,93563050.02954283,93553648.71864532,0.2397103782494345
1973.0,male,47.0,2020-04-30,331649.9207747614,331649.3937838778,331692.7488333881,331692.50381817686,0.0001291280077353855,0.00012997832495018272,0.00012911967107298583,0.00012996987813362892,42.82805862666157,43.11003429908669,0.12523626206777225,0.12527438,27260.657655129427,27260.625928851558,23554.79752245184,23553.743707234695,93311554.91365997,93311406.6418357,0.0
1973.0,male,47.0,2020-05-30,331607.0577221003,331606.2893525846,331649.9207747614,331649.3937838778,0.00012925021254339139,0.00012997832495018272,0.0001292418600945533,0.00012996987813362892,42.863052661141396,43.10443129318251,0.1252417402522762,0.12527438,27257.136102610755,27257.08286862174,23493.67758756466,23492.75508872082,93070007.46509467,93069791.81179388,0.0
1973.0,male,47.0,2020-06-29,331564.15969215246,331563.19052356906,331607.0577221003,331606.2893525846,0.00012937241207464548,0.00012997832495018272,0.00012936404382501987,0.00012996987813362892,42.898029947847675,43.09882901550031,0.12524721820023443,0.12527438,27253.611674558335,27253.540268883025,23432.713388434142,23431.924390392986,92829073.94558106,92828802.6043656,0.0
1973.0,male,47.0,2020-07-29,331521.2125692698,331520.09729610314,331564.15969215246,331563.19052356906,0.0001295372352921583,0.00012997832495018272,0.00012952884570671674,0.00012996987813362892,42.947122882642006,43.09322746594546,0.1252546068783953,0.12527438,27250.083791565296,27249.99812957557,23371.852979691073,23371.25120334236,92588748.87815382,92588437.39960207,0.0
1973.0,male,47.0,2020-08-28,331478.20114067075,331477.0096694587,331521.2125692698,331520.09729610314,0.0001297480141611453,0.00012997832495018272,0.00012973959725159911,0.00012996987813362892,43.01142859909884,43.08762664442333,0.1252640556517511,0.12527438,27246.551248353724,27246.456450639525,23311.09136054995,23310.7351197189,92349026.52275208,92348694.58174907,0.0
1973.0,male,47.0,2020-09-27,331435.1143432497,331433.9276429079,331478.20114067075,331477.0096694587,0.00012999225230607284,0.00012997832495018272,0.00012998380367934548,0.00012996987813362892,43.086797421051536,43.08202655083929,0.12527500433407093,0.12527438,27243.01296509262,27242.915232015068,23250.442547720242,23250.375732728637,92109902.33788405,92109572.53923611,0.0
1973.0,male,47.0,2020-10-27,331392.0331464145,331390.8512157228,331435.1143432497,331433.9276429079,0.00012999225230607284,0.00012997832495018272,0.00012998380367934548,0.00012996987813362892,43.08119683523439,43.07642718509872,0.12527500433407093,0.12527438,27239.471814643734,27239.374473642354,23190.238955637175,23190.172636630923,91871397.32982756,91871069.66466567,0.0
1973.0,male,47.0,2020-11-26,331348.9575494371,331347.7803871757,331392.0331464145,331390.8512157228,0.00012999225230607284,0.00012997832495018272,0.00012998380367934548,0.00012996987813362892,43.07559697740269,43.07082854710705,0.12527500433407093,0.12527438,27235.93112448705,27235.83417546158,23130.19125187719,23130.125426735707,91633509.89531554,91633184.3548022,0.0
1973.0,male,47.0,2020-12-26,331305.88755158964,331304.71515653894,331348.9575494371,331347.7803871757,0.00012999225230607284,0.00012997832495018272,0.00012998380367934548,0.00012996987813362892,43.06999784746181,43.06523063676966,0.12527500433407093,0.12527438,27232.39089456274,27232.294337412928,23070.299032790463,23070.233699400833,91396238.43523236,91395915.01056163,0.0
