Model name, Total time (minutes), Setup time, Initialise time, Run time, Finalise time
COVID19_australia_BAU.yaml,0.6364368637402852,0.06988487243652344,0.00013297796249389648,0.5592956781387329,0.0068900823593139645
COVID19_australia_elimination.yaml,1.8210612694422403,0.13798348506291708,0.00023274421691894532,1.6764869530995687,0.006058891614278157
COVID19_australia_flatten.yaml,1.762082314491272,0.1348554531733195,0.0001999219258626302,1.6206593235333762,0.006168138980865478
COVID19_australia_suppress.yaml,1.7871099591255188,0.13474429448445638,0.00021610260009765624,1.6454246362050375,0.006575326124827067
COVID19_new_zealand_BAU.yaml,0.631053352355957,0.07349416414896646,0.00013297001520792644,0.5508905490239461,0.00640269915262858
COVID19_new_zealand_elimination.yaml,1.7705660581588745,0.12822652260462444,0.00023270448048909504,1.6361048738161723,0.005802508195241292
COVID19_new_zealand_flatten.yaml,1.748656964302063,0.13030516703923542,0.00021659135818481446,1.6119433244069417,0.006042885780334473
COVID19_new_zealand_suppress.yaml,1.7234263976414999,0.12584567467371624,0.00019997755686442057,1.5912031014760335,0.006011402606964112
COVID19_sweden_BAU.yaml,0.6055704752604166,0.07094986836115519,0.00013301769892374674,0.5286263465881348,0.005744838714599609
COVID19_sweden_elimination.yaml,1.7179208278656006,0.1235225518544515,0.00019992589950561522,1.5880306720733643,0.005984783172607422
COVID19_sweden_flatten.yaml,1.7538320700327554,0.13073459068934123,0.00019947687784830728,1.6167512575785319,0.0059971451759338375
COVID19_sweden_suppress.yaml,1.7438361605008443,0.13002416292826335,0.00019991795221964518,1.6077110528945924,0.0057182788848876955
