scenario,sex,age_start,age_end,time_start,time_end,month,draw_0,draw_1,draw_2,draw_3,draw_4,draw_5,draw_6,draw_7,draw_8,draw_9,draw_10,draw_11,draw_12,draw_13,draw_14,draw_15,draw_16,draw_17,draw_18,draw_19,draw_20,draw_21,draw_22,draw_23,draw_24,draw_25,draw_26,draw_27,draw_28,draw_29,draw_30,draw_31,draw_32,draw_33,draw_34,draw_35,draw_36,draw_37,draw_38,draw_39,draw_40,draw_41,draw_42,draw_43,draw_44,draw_45,draw_46,draw_47,draw_48,draw_49,draw_50,draw_51,draw_52,draw_53,draw_54,draw_55,draw_56,draw_57,draw_58,draw_59,draw_60,draw_61,draw_62,draw_63,draw_64,draw_65,draw_66,draw_67,draw_68,draw_69,draw_70,draw_71,draw_72,draw_73,draw_74,draw_75,draw_76,draw_77,draw_78,draw_79,draw_80,draw_81,draw_82,draw_83,draw_84,draw_85,draw_86,draw_87,draw_88,draw_89,draw_90,draw_91,draw_92,draw_93,draw_94,draw_95,draw_96,draw_97,draw_98,draw_99,draw_100
elimination,female,0,5,0,.082135521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elimination,female,0,5,.082135521,.16427104,1,.0019219046,.0019174697,.0019514827,.0030133026,.0015854802,.0016674499,.0018580687,.0022010303,.0012852709,.0011811303,.0023883386,.0019939223,.0028726039,.0020919011,.0026307025,.002576944,.0018674314,.0018070185,.0010809648,.0024457821,.0025738841,.0019478308,.0024579992,.0016608529,.0028427383,.0028181926,.0036664018,.0016913789,.00182403,.0032427055,.0023401652,.0024800086,.0021153914,.0018703444,.0027541739,.0019111963,.00073303701,.0016823125,.0016214454,.001974609,.0025237142,.0027251828,.0032000977,.0019482758,.0026754458,.0016047113,.0024274606,.0026855438,.0025690722,.0013974214,.0015265613,.0024979939,.0031425387,.0023554224,.0017541678,.0022896179,.0019537872,.0028866238,.0011113981,.0024615445,.001666046,.0020974802,.0018288433,.0021089583,.0017006869,.0022500763,.0018502682,.0014758341,.0016348608,.0026621725,.0032344216,.0024348262,.0020594874,.0014096374,.0020717341,.001310742,.0020391138,.0023987708,.0024163045,.0037956717,.0015686861,.0028875635,.0014334632,.0010650812,.0018026953,.0020137299,.0015190897,.0022602181,.0020597856,.0024596145,.0019263487,.0020731438,.0019246686,.0018519588,.0024819823,.00089115207,.0021967089,.0021019771,.0019601807,.0010953479,.0018637235
elimination,female,0,5,.16427104,.24640657,2,.0019219046,.0019174697,.0019514827,.0030133026,.0015854802,.0016674499,.0018580687,.0022010303,.0012852709,.0011811303,.0023883386,.0019939223,.0028726039,.0020919011,.0026307025,.002576944,.0018674314,.0018070185,.0010809648,.0024457821,.0025738841,.0019478308,.0024579992,.0016608529,.0028427383,.0028181926,.0036664018,.0016913789,.00182403,.0032427055,.0023401652,.0024800086,.0021153914,.0018703444,.0027541739,.0019111963,.00073303701,.0016823125,.0016214454,.001974609,.0025237142,.0027251828,.0032000977,.0019482758,.0026754458,.0016047113,.0024274606,.0026855438,.0025690722,.0013974214,.0015265613,.0024979939,.0031425387,.0023554224,.0017541678,.0022896179,.0019537872,.0028866238,.0011113981,.0024615445,.001666046,.0020974802,.0018288433,.0021089583,.0017006869,.0022500763,.0018502682,.0014758341,.0016348608,.0026621725,.0032344216,.0024348262,.0020594874,.0014096374,.0020717341,.001310742,.0020391138,.0023987708,.0024163045,.0037956717,.0015686861,.0028875635,.0014334632,.0010650812,.0018026953,.0020137299,.0015190897,.0022602181,.0020597856,.0024596145,.0019263487,.0020731438,.0019246686,.0018519588,.0024819823,.00089115207,.0021967089,.0021019771,.0019601807,.0010953479,.0018637235
elimination,female,0,5,.24640657,.32854208,3,.0019219046,.0019174697,.0019514827,.0030133026,.0015854802,.0016674499,.0018580687,.0022010303,.0012852709,.0011811303,.0023883386,.0019939223,.0028726039,.0020919011,.0026307025,.002576944,.0018674314,.0018070185,.0010809648,.0024457821,.0025738841,.0019478308,.0024579992,.0016608529,.0028427383,.0028181926,.0036664018,.0016913789,.00182403,.0032427055,.0023401652,.0024800086,.0021153914,.0018703444,.0027541739,.0019111963,.00073303701,.0016823125,.0016214454,.001974609,.0025237142,.0027251828,.0032000977,.0019482758,.0026754458,.0016047113,.0024274606,.0026855438,.0025690722,.0013974214,.0015265613,.0024979939,.0031425387,.0023554224,.0017541678,.0022896179,.0019537872,.0028866238,.0011113981,.0024615445,.001666046,.0020974802,.0018288433,.0021089583,.0017006869,.0022500763,.0018502682,.0014758341,.0016348608,.0026621725,.0032344216,.0024348262,.0020594874,.0014096374,.0020717341,.001310742,.0020391138,.0023987708,.0024163045,.0037956717,.0015686861,.0028875635,.0014334632,.0010650812,.0018026953,.0020137299,.0015190897,.0022602181,.0020597856,.0024596145,.0019263487,.0020731438,.0019246686,.0018519588,.0024819823,.00089115207,.0021967089,.0021019771,.0019601807,.0010953479,.0018637235
elimination,female,0,5,.32854208,.41067761,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elimination,female,0,5,.41067761,.49281314,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elimination,female,0,5,.49281314,.57494867,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elimination,female,0,5,.57494867,.65708417,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elimination,female,0,5,.65708417,.73921973,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elimination,female,0,5,.73921973,.82135522,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
