sex,age,mortality per 1 rate,1-year,5-year,$/notlastyr,$/lastyr,pYLD rate,APC in all-cause mortality
male,0,0.003606141,,,,,0.029422143,-0.0277703
male,1,0.000216708,,,,,0.029422143,-0.0277703
male,2,0.000189688,,171499.8,,,0.029422143,-0.0277703
male,3,0.000166038,,,,,0.029422143,-0.0277703
male,4,0.000145336,,,,,0.029422143,-0.0277703
male,5,0.000108654,,,,,0.038979392,-0.0286817
male,6,9.51065E-05,,,,,0.038979392,-0.0286817
male,7,8.32484E-05,,168205.2,,,0.038979392,-0.0286817
male,8,8.5483E-05,,,,,0.038979392,-0.0286817
male,9,8.77775E-05,,,,,0.038979392,-0.0286817
male,10,8.39599E-05,,,,,0.055711108,-0.0315254
male,11,8.62135E-05,,,,,0.055711108,-0.0315254
male,12,8.85277E-05,,165169.2,,,0.055711108,-0.0315254
male,13,0.000116704,,,,,0.055711108,-0.0315254
male,14,0.000153849,,,,,0.055711108,-0.0315254
male,15,0.000258947,,,,,0.083114109,-0.0334663
male,16,0.000341366,,,,,0.083114109,-0.0334663
male,17,0.000450016,,155495,,,0.083114109,-0.0334663
male,18,0.000493636,,,,,0.083114109,-0.0334663
male,19,0.000541484,,,,,0.083114109,-0.0334663
male,20,0.000570443,,,,,0.099094073,-0.0323795
male,21,0.000625737,,,,,0.099094073,-0.0323795
male,22,0.000686389,,162244.4,,,0.099094073,-0.0323795
male,23,0.000706635,,,,,0.099094073,-0.0323795
male,24,0.000727478,,,,,0.099094073,-0.0323795
male,25,0.000720975,,,,,0.107384458,-0.0266087
male,26,0.000742241,,,,,0.107384458,-0.0266087
male,27,0.000764133,,181941,,,0.107384458,-0.0266087
male,28,0.000792921,,,,,0.107384458,-0.0266087
male,29,0.000822793,,,,,0.107384458,-0.0266087
male,30,0.000851443,,,,,0.114744011,-0.0202499
male,31,0.00088352,,,,,0.114744011,-0.0202499
male,32,0.000916805,,187917,,,0.114744011,-0.0202499
male,33,0.00096172,,,,,0.114744011,-0.0202499
