year_of_birth,sex,age,date,population,bau_population,prev_population,bau_prev_population,acmr,bau_acmr,pr_death,bau_pr_death,deaths,bau_deaths,yld_rate,bau_yld_rate,person_years,bau_person_years,HALY,bau_HALY,expenditure,bau_expenditure,COVID19_deaths
1947.0,female,88.0,2035-11-08,60250.53051763976,60587.63042979114,60680.140075904885,61019.6436406566,0.0071050853097781065,0.007105085309778037,0.0070799038652139545,0.0070799038652138435,429.60955826512316,432.01321086545596,0.37956902,0.37956902,4969.75358603608,4997.559208374564,1912.214447981573,1922.913230496699,47813759.47682115,48081276.02780894,0.0
1947.0,female,88.0,2035-12-08,59823.96255374673,60158.67583092712,60250.53051763976,60587.63042979114,0.0071050853097781065,0.007105085309778037,0.0070799038652139545,0.0070799038652138435,426.56796389302906,428.9545988640262,0.37956902,0.37956902,4934.568208413143,4962.176969618558,1894.0060017350902,1904.602908539291,47358468.35076834,47623437.56155388,0.0
1947.0,female,89.0,2036-01-07,59347.49434885148,59679.54180070828,59823.96255374673,60158.67583092712,0.007996390346273606,0.007996390346273573,0.00796450426477835,0.00796450426477835,476.46820489525606,479.1340302188372,0.37956902,0.37956902,4897.457132983488,4924.858258834331,1875.1382495499656,1885.6295918462783,46865722.31232463,47127934.623795815,0.0
1947.0,female,89.0,2036-02-06,58874.82097700614,59204.22383551652,59347.49434885148,59679.54180070828,0.007996390346273606,0.007996390346273573,0.00796450426477835,0.00796450426477835,472.6733718453366,475.31796519175884,0.37956902,0.37956902,4858.4513147612715,4885.634204228416,1855.6281814211457,1866.0103654711195,46378103.100546904,46637587.197145276,0.0
1947.0,female,89.0,2036-03-07,58405.91221424671,58732.691542285655,58874.82097700614,59204.22383551652,0.007996390346273606,0.007996390346273573,0.00796450426477835,0.00796450426477835,468.9087627594272,471.5322932308633,0.37956902,0.37956902,4819.756158544637,4846.722549772691,1836.321107796055,1846.5952693478532,45895557.37284162,46152341.640558474,0.0
1947.0,female,89.0,2036-04-06,57940.738077328075,58264.91477001521,58405.91221424671,58732.691542285655,0.007996390346273606,0.007996390346273573,0.00796450426477835,0.00796450426477835,465.17413691863777,467.7767722704454,0.37956902,0.37956902,4781.369190064717,4808.12080735483,1817.214916597572,1827.3821795823499,45418032.34162368,45672144.87110536,0.0
1947.0,female,89.0,2036-05-06,57479.26882180679,57800.863607842475,57940.738077328075,58264.91477001521,0.007996390346273606,0.007996390346273573,0.00796450426477835,0.00796450426477835,461.46925552128477,464.0511621727332,0.37956902,0.37956902,4743.287954758967,4769.8265086790825,1798.307517723897,1808.3689943787522,44945475.768541835,45196944.358162664,0.0
1947.0,female,89.0,2036-06-05,57021.474940139175,57340.50838312994,57479.26882180679,57800.863607842475,0.007996390346273606,0.007996390346273573,0.00796450426477835,0.00796450426477835,457.7938816676214,460.3552247125331,0.37956902,0.37956902,4705.510017614218,4731.837205108455,1779.596842819909,1789.5536338095553,44477835.95876412,44726688.1176674,0.0
1947.0,female,89.0,2036-07-05,56567.327159794484,56883.81965956795,57021.474940139175,57340.50838312994,0.007996390346273606,0.007996390346273573,0.00796450426477835,0.00796450426477835,454.1477803446902,456.6887235619971,0.37956902,0.37956902,4668.032963010972,4694.150467508132,1761.0808450509007,1770.9340395880731,44015061.75532273,44261324.70643008,0.0
1947.0,female,89.0,2036-08-04,56116.79644138319,56430.76823529244,56567.327159794484,56883.81965956795,0.007996390346273606,0.007996390346273573,0.00796450426477835,0.00796450426477835,450.5307184112953,453.0514242755114,0.37956902,0.37956902,4630.854394568944,4656.7638860901525,1742.7574988786655,1752.5081748432726,43557102.5335178,43800803.21650712,0.0
