year_of_birth,sex,age,date,population,bau_population,prev_population,bau_prev_population,acmr,bau_acmr,pr_death,bau_pr_death,deaths,bau_deaths,yld_rate,bau_yld_rate,person_years,bau_person_years,HALY,bau_HALY,expenditure,bau_expenditure,COVID19_deaths
1913.0,female,107.0,2020-01-01,14.050908025631426,14.050908025631426,15.24250331,15.24250331,0.08140077410552322,0.08140077410552332,0.0781758258557711,0.0781758258557711,1.1915952843685744,1.1915952843685744,0.49750200000000006,0.49750200000000006,1.2038388220122502,1.2038388220122502,0.6034386694178238,0.6034386694178238,17935.71106395584,17935.71106395584,0.0
1913.0,female,107.0,2020-01-31,12.952029385900673,12.952466686704208,14.050908025631426,14.050908025631426,0.08143453664638485,0.08140077410552332,0.07820694845672582,0.0781758258557711,1.0988786397307522,1.0984413389272187,0.4974520150009731,0.49750200000000006,1.1097097566383054,1.1097277279042042,0.5549423262335256,0.5548961160842141,16495.147439439897,16492.904603212683,0.0005031884766432039
1913.0,female,107.0,2020-03-01,11.939090918682203,11.939896906601742,12.952029385900673,12.952466686704208,0.08143451760183064,0.08140077410552332,0.07820693090158792,0.0781758258557711,1.0129384672184703,1.0125697801024647,0.49745153687796984,0.49750200000000006,1.022922752243132,1.0229738463002445,0.5102842365781262,0.5102584823448684,15167.712743789894,15166.162148838672,0.00046383564138635034
1913.0,female,107.0,2020-03-31,11.005371470226539,11.006485605295385,11.939090918682203,11.939896906601742,0.08143449851574217,0.08140077410552332,0.07820691330816365,0.0781758258557711,0.9337194484556629,0.9334113013063579,0.49745105771222814,0.49750200000000006,0.9429231118729618,0.9430020210368681,0.4692199446592447,0.4692116438698845,13947.102632074104,13946.14713772505,0.0004275604794307543
1913.0,female,107.0,2020-04-30,10.14492697560791,10.146044503331762,11.005371470226539,11.006485605295385,0.08140969390167001,0.08140077410552332,0.07818404830281622,0.0781758258557711,0.8604444946186273,0.8604411019636233,0.49745799589643447,0.49750200000000006,0.8691903470890868,0.8692820592586499,0.4314590041769773,0.43146674550386044,12823.51132792902,12824.274070020396,0.00011764844451626842
1913.0,female,107.0,2020-05-30,9.351754119279532,9.352869095114395,10.14492697560791,10.146044503331762,0.08140984313985401,0.08140077410552332,0.07818418587294462,0.0781758258557711,0.7931728563283789,0.7931754082173673,0.4974617425952525,0.49750200000000006,0.8012334696529085,0.8013252163744996,0.39674452467074645,0.39675816853197576,11791.839765437764,11792.648091179195,0.00010845021284745729
1913.0,female,107.0,2020-06-29,8.620593550826213,8.621700829482908,9.351754119279532,9.352869095114395,0.08140999233531139,0.08140077410552332,0.07818432340366632,0.0781758258557711,0.7311605684533197,0.7311682656314863,0.497465488221397,0.49750200000000006,0.7385896302783183,0.7386809558053685,0.36482306122205743,0.36484166146574837,10843.166177556126,10844.00943422532,9.997112124823127e-05
1913.0,female,107.0,2020-07-29,7.946597964745911,7.947692246856695,8.620593550826213,8.621700829482908,0.08141003159373858,0.08140077410552332,0.07818435959269932,0.0781758258557711,0.6739955860803012,0.674008582626213,0.4974664738237328,0.49750200000000006,0.6808434869413201,0.6809339620413536,0.3354717604713811,0.3354926211944144,9970.81460375086,9971.682331259082,9.215494677353243e-05
1913.0,female,107.0,2020-08-28,7.325297199663707,7.326374841811164,7.946597964745911,7.947692246856695,0.08141018070274902,0.08140077410552332,0.078184497043707,0.0781758258557711,0.6213007650822048,0.6213174050455311,0.49747021727958446,0.49750200000000006,0.6276121300442309,0.6277013872055285,0.3084801540005562,0.30850451240603627,9168.643863833837,9169.528034687479,8.494987127674451e-05
1913.0,female,107.0,2020-09-27,6.752572653019585,6.753629438023633,7.325297199663707,7.326374841811164,0.08141016136089692,0.08140077410552332,0.07818447921408767,0.0781758258557711,0.5727245466441216,0.5727454037875321,0.4974697316927694,0.49750200000000006,0.5785425966856147,0.5786303128699232,0.2836626236389687,0.2836874141554763,8431.009427870456,8431.901617578222,7.830810831704458e-05
