sex,age,mortality per 1 rate,1-year,5-year,$/notlastyr,$/lastyr,pYLD rate,APC in all-cause mortality
male,0,0.004095971,,,,,0.032860115,-0.029343
male,1,0.00024173,,,,,0.032860115,-0.029343
male,2,0.000225118,,30938.4,,,0.032860115,-0.029343
male,3,0.000209649,,,,,0.032860115,-0.029343
male,4,0.000195242,,,,,0.032860115,-0.029343
male,5,0.000174836,,,,,0.042718191,-0.0301753
male,6,0.000162822,,,,,0.042718191,-0.0301753
male,7,0.000151633,,32210,,,0.042718191,-0.0301753
male,8,0.000142018,,,,,0.042718191,-0.0301753
male,9,0.000133013,,,,,0.042718191,-0.0301753
male,10,9.61092E-05,,,,,0.0594354,-0.0377166
male,11,9.0015E-05,,,,,0.0594354,-0.0377166
male,12,8.43073E-05,,33067.4,,,0.0594354,-0.0377166
male,13,0.000117575,,,,,0.0594354,-0.0377166
male,14,0.00016397,,,,,0.0594354,-0.0377166
male,15,0.000334165,,,,,0.084285199,-0.0290353
male,16,0.000466025,,,,,0.084285199,-0.0290353
male,17,0.000649918,,30895.8,,,0.084285199,-0.0290353
male,18,0.000698455,,,,,0.084285199,-0.0290353
male,19,0.000750616,,,,,0.084285199,-0.0290353
male,20,0.000736911,,,,,0.100078031,-0.030907
male,21,0.000791944,,,,,0.100078031,-0.030907
male,22,0.000851087,,33271.4,,,0.100078031,-0.030907
male,23,0.000878333,,,,,0.100078031,-0.030907
male,24,0.00090645,,,,,0.100078031,-0.030907
male,25,0.000931148,,,,,0.111034529,-0.0256233
male,26,0.000960956,,,,,0.111034529,-0.0256233
male,27,0.000991719,,35675,,,0.111034529,-0.0256233
male,28,0.000994651,,,,,0.111034529,-0.0256233
male,29,0.000997591,,,,,0.111034529,-0.0256233
male,30,0.000969416,,,,,0.119033224,-0.019251
male,31,0.000972282,,,,,0.119033224,-0.019251
male,32,0.000975157,,32293,,,0.119033224,-0.019251
male,33,0.001000071,,,,,0.119033224,-0.019251
male,34,0.001025623,,,,,0.119033224,-0.019251
male,35,0.001032514,,,,,0.126093931,-0.016826
male,36,0.001058894,,,,,0.126093931,-0.016826
male,37,0.001085948,,28271.4,,,0.126093931,-0.016826
male,38,0.001171929,,,,,0.126093931,-0.016826
male,39,0.001264718,,,,,0.126093931,-0.016826
male,40,0.001395738,,,,,0.133372141,-0.013697
male,41,0.001506248,,,,,0.133372141,-0.013697
male,42,0.001625507,,26639,,,0.133372141,-0.013697
male,43,0.001753226,,,,,0.133372141,-0.013697
male,44,0.001890981,,,,,0.133372141,-0.013697
male,45,0.002032896,,,,,0.141947655,-0.0152636
male,46,0.002192625,,,,,0.141947655,-0.0152636
male,47,0.002364904,,29740.6,,,0.141947655,-0.0152636
male,48,0.002584249,,,,,0.141947655,-0.0152636
male,49,0.002823939,,,,,0.141947655,-0.0152636
male,50,0.003090433,,,,,0.15384542,-0.0220069
male,51,0.003377071,,,,,0.15384542,-0.0220069
male,52,0.003690296,,29758.8,,,0.15384542,-0.0220069
male,53,0.004040976,,,,,0.15384542,-0.0220069
male,54,0.004424982,,,,,0.15384542,-0.0220069
male,55,0.004943048,,,,,0.169049598,-0.0254497
